127.0.0.1 - - [26/Dec/2017:16:13:08 +0800] "GET /WeJobAdmin HTTP/1.1" 302 -
127.0.0.1 - - [26/Dec/2017:16:13:09 +0800] "GET /WeJobAdmin/ HTTP/1.1" 200 1573
127.0.0.1 - - [26/Dec/2017:16:13:09 +0800] "GET /WeJobAdmin/js/gVerify.js HTTP/1.1" 200 4570
127.0.0.1 - - [26/Dec/2017:16:13:23 +0800] "POST /WeJobAdmin/servlet/Login HTTP/1.1" 200 -
127.0.0.1 - - [26/Dec/2017:16:13:27 +0800] "POST /WeJobAdmin/servlet/Login HTTP/1.1" 200 -
127.0.0.1 - - [26/Dec/2017:16:13:58 +0800] "POST /WeJobAdmin/servlet/Login HTTP/1.1" 200 -
127.0.0.1 - - [26/Dec/2017:16:14:09 +0800] "POST /WeJobAdmin/servlet/Login HTTP/1.1" 200 -
127.0.0.1 - - [26/Dec/2017:16:24:25 +0800] "GET /WeJobAdmin/login.jsp HTTP/1.1" 200 3215
127.0.0.1 - - [26/Dec/2017:16:24:25 +0800] "GET /WeJobAdmin/css/Login.css HTTP/1.1" 200 1160
127.0.0.1 - - [26/Dec/2017:16:24:25 +0800] "GET /WeJobAdmin/js/gVerify.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Dec/2017:16:24:25 +0800] "GET /WeJobAdmin/images/login.jpg HTTP/1.1" 404 1097
127.0.0.1 - - [26/Dec/2017:16:24:25 +0800] "GET /StudentManagerWeb/images/error.png HTTP/1.1" 404 1104
127.0.0.1 - - [26/Dec/2017:16:25:31 +0800] "GET /WeJobAdmin/login.jsp HTTP/1.1" 200 4333
127.0.0.1 - - [26/Dec/2017:16:25:31 +0800] "GET /WeJobAdmin/images/login.jpg HTTP/1.1" 404 1097
127.0.0.1 - - [26/Dec/2017:16:25:31 +0800] "GET /StudentManagerWeb/images/error.png HTTP/1.1" 404 1104
127.0.0.1 - - [26/Dec/2017:16:25:32 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [26/Dec/2017:16:25:32 +0800] "GET /WeJobAdmin/login.jsp HTTP/1.1" 200 4333
127.0.0.1 - - [26/Dec/2017:16:25:32 +0800] "GET /WeJobAdmin/images/login.jpg HTTP/1.1" 404 1097
127.0.0.1 - - [26/Dec/2017:16:25:32 +0800] "GET /StudentManagerWeb/images/error.png HTTP/1.1" 404 1104
127.0.0.1 - - [26/Dec/2017:16:25:32 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [26/Dec/2017:16:25:33 +0800] "GET /WeJobAdmin/login.jsp HTTP/1.1" 200 4333
127.0.0.1 - - [26/Dec/2017:16:25:33 +0800] "GET /WeJobAdmin/images/login.jpg HTTP/1.1" 404 1097
127.0.0.1 - - [26/Dec/2017:16:25:33 +0800] "GET /StudentManagerWeb/images/error.png HTTP/1.1" 404 1104
127.0.0.1 - - [26/Dec/2017:16:25:33 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [26/Dec/2017:16:25:33 +0800] "GET /WeJobAdmin/login.jsp HTTP/1.1" 200 4333
127.0.0.1 - - [26/Dec/2017:16:25:33 +0800] "GET /WeJobAdmin/images/login.jpg HTTP/1.1" 404 1097
127.0.0.1 - - [26/Dec/2017:16:25:33 +0800] "GET /StudentManagerWeb/images/error.png HTTP/1.1" 404 1104
127.0.0.1 - - [26/Dec/2017:16:25:33 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [26/Dec/2017:16:25:33 +0800] "GET /WeJobAdmin/login.jsp HTTP/1.1" 200 4333
127.0.0.1 - - [26/Dec/2017:16:25:33 +0800] "GET /WeJobAdmin/images/login.jpg HTTP/1.1" 404 1097
127.0.0.1 - - [26/Dec/2017:16:25:33 +0800] "GET /StudentManagerWeb/images/error.png HTTP/1.1" 404 1104
127.0.0.1 - - [26/Dec/2017:16:25:33 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [26/Dec/2017:16:48:26 +0800] "GET /WeJobAdmin/login.jsp HTTP/1.1" 200 2781
127.0.0.1 - - [26/Dec/2017:16:48:26 +0800] "GET /WeJobAdmin/js/gVerify.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Dec/2017:16:49:05 +0800] "GET /WeJobAdmin/login.jsp HTTP/1.1" 200 1599
127.0.0.1 - - [26/Dec/2017:16:52:28 +0800] "GET /WeJobAdmin/login.jsp HTTP/1.1" 200 1599
127.0.0.1 - - [26/Dec/2017:16:52:28 +0800] "GET /WeJobAdmin/js/gVerify.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Dec/2017:16:52:28 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [26/Dec/2017:16:52:28 +0800] "GET /WeJobAdmin/login.jsp HTTP/1.1" 200 1599
127.0.0.1 - - [26/Dec/2017:16:52:28 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [26/Dec/2017:16:52:29 +0800] "GET /WeJobAdmin/login.jsp HTTP/1.1" 200 1599
127.0.0.1 - - [26/Dec/2017:16:52:29 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
