127.0.0.1 - - [21/Dec/2017:15:37:55 +0800] "GET /NiceShop/images/logo.png HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:37:55 +0800] "GET /NiceShop/js/index.js HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:37:55 +0800] "GET /NiceShop/images/Jordanbanner.jpg HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:37:55 +0800] "GET /NiceShop/images/jordan-kid.jpg HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:37:55 +0800] "GET /NiceShop/images/kobe-kid.jpg HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:37:55 +0800] "GET /NiceShop/images/BB_Kobe_Collection.jpg HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:37:55 +0800] "GET /NiceShop/images/PWH_Lebron_1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:37:55 +0800] "GET /NiceShop/images/BB_PWH_Kyrie_COLLECTION.jpg HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:37:55 +0800] "GET /NiceShop/images/james-kid.jpg HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:37:55 +0800] "GET /NiceShop/images/orying-kid.jpg HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:37:55 +0800] "GET /NiceShop/images/flashbutton.png HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:37:55 +0800] "GET /NiceShop/images/AirJordan.jpg HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:37:55 +0800] "GET /NiceShop/images/Jamestubiao.jpg HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:37:55 +0800] "GET /NiceShop/images/Irving.jpg HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:37:55 +0800] "GET /NiceShop/images/Kobetubiao.jpg HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:37:59 +0800] "GET /NiceShop/gwc.jsp HTTP/1.1" 200 5200
127.0.0.1 - - [21/Dec/2017:15:38:00 +0800] "GET /NiceShop/fonts/FjallaOne-Regular.ttf HTTP/1.1" 404 1106
127.0.0.1 - - [21/Dec/2017:15:38:00 +0800] "GET /NiceShop/fonts/OpenSans-Regular.ttf HTTP/1.1" 404 1105
127.0.0.1 - - [21/Dec/2017:15:38:02 +0800] "GET /NiceShop/images/air-jordan-6.jpg HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:38:09 +0800] "GET /NiceShop/ZY-KOBE.jsp HTTP/1.1" 200 5787
127.0.0.1 - - [21/Dec/2017:15:38:09 +0800] "GET /NiceShop/css/ZIYE-KOBE.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:38:09 +0800] "GET /NiceShop/images/big1.png HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:38:09 +0800] "GET /NiceShop/js/ZY-KOBE.js HTTP/1.1" 304 -
